"time,tps"
"15:04:01,88"
"15:04:04,79"
"15:04:07,91"
"15:04:10,85"
"15:04:13,81"
"15:04:16,80"
"15:04:19,78"
"15:04:22,91"
"15:04:25,84"
"15:04:28,89"
"15:04:31,85"
"15:04:34,82"
"15:04:37,84"
"15:04:40,84"
"15:04:43,74"
"15:04:46,79"
"15:04:49,73"
"15:04:52,76"
"15:04:55,76"
"15:04:58,76"
"15:05:01,75"
"15:05:04,82"
"15:05:07,93"
"15:05:10,91"
"15:05:13,77"
"15:05:16,74"
"15:05:19,67"
"15:05:22,76"
"15:05:25,73"
"15:05:28,81"
"15:05:31,74"
"15:05:34,80"
"15:05:37,82"
"15:05:40,77"
"15:05:43,89"
"15:05:46,80"
"15:05:49,74"
"15:05:52,73"
"15:05:55,70"
"15:05:58,77"
"15:06:01,73"
"15:06:04,71"
"15:06:07,98"
"15:06:10,86"
"15:06:13,87"
"15:06:16,75"
"15:06:19,77"
"15:06:22,79"
"15:06:25,80"
"15:06:28,73"
"15:06:31,75"
"15:06:34,74"
"15:06:37,73"
"15:06:40,77"
"15:06:43,80"
"15:06:46,85"
"15:06:49,86"
"15:06:52,93"
"15:06:55,92"
"15:06:58,82"
"15:07:01,81"
"15:07:04,73"
"15:07:07,75"
"15:07:10,71"
"15:07:13,75"
"15:07:16,85"
"15:07:19,86"
"15:07:22,84"
"15:07:25,88"
"15:07:28,91"
"15:07:31,91"
"15:07:34,83"
"15:07:37,82"
"15:07:40,79"
"15:07:43,86"
"15:07:46,84"
"15:07:49,82"
"15:07:52,86"
"15:07:55,87"
"15:07:58,86"
"15:08:01,87"
"15:08:04,79"
"15:08:07,81"
"15:08:10,78"
"15:08:13,79"
"15:08:16,80"
"15:08:19,88"
"15:08:22,78"
"15:08:25,84"
"15:08:29,75"
"15:08:32,74"
"15:08:35,73"
"15:08:38,73"
"15:08:41,77"
"15:08:44,73"
"15:08:47,74"
"15:08:50,77"
"15:08:53,75"
"15:08:56,73"
"15:08:59,70"
"15:09:02,70"
"15:09:05,71"
"15:09:08,79"
"15:09:11,78"
"15:09:14,71"
"15:09:17,76"
"15:09:20,71"
"15:09:23,73"
"15:09:26,73"
"15:09:29,75"
"15:09:32,73"
"15:09:35,77"
"15:09:38,78"
"15:09:41,76"
"15:09:44,78"
"15:09:47,75"
"15:09:50,80"
"15:09:53,69"
"15:09:56,76"
"15:09:59,79"
