"time","lat"
"2025/04/22 14:55:18 UTC","903"
"2025/04/22 14:55:24 UTC","181"
"2025/04/22 14:55:30 UTC","365"
"2025/04/22 14:55:36 UTC","1193"
"2025/04/22 14:55:42 UTC","217"
"2025/04/22 14:55:48 UTC","165"
"2025/04/22 14:55:54 UTC","162"
"2025/04/22 14:56:00 UTC","164"
"2025/04/22 14:56:06 UTC","177"
"2025/04/22 14:56:12 UTC","141"
"2025/04/22 14:56:17 UTC","139"
"2025/04/22 14:56:24 UTC","219"
"2025/04/22 14:56:30 UTC","308"
"2025/04/22 14:56:36 UTC","277"
"2025/04/22 14:56:42 UTC","199"
"2025/04/22 14:56:48 UTC","158"
"2025/04/22 14:56:54 UTC","173"
"2025/04/22 14:57:00 UTC","142"
"2025/04/22 14:57:06 UTC","744"
"2025/04/22 14:57:11 UTC","1139"
"2025/04/22 14:57:18 UTC","137"
"2025/04/22 14:57:24 UTC","116"
"2025/04/22 14:57:30 UTC","134"
"2025/04/22 14:57:36 UTC","191"
"2025/04/22 14:57:42 UTC","1848"
"2025/04/22 14:57:48 UTC","1854"
"2025/04/22 14:57:54 UTC","146"
"2025/04/22 14:58:00 UTC","150"
"2025/04/22 14:58:06 UTC","169"
"2025/04/22 14:58:12 UTC","124"
"2025/04/22 14:58:18 UTC","110"
"2025/04/22 14:58:24 UTC","132"
"2025/04/22 14:58:30 UTC","985"
"2025/04/22 14:58:36 UTC","665"
"2025/04/22 14:58:42 UTC","155"
"2025/04/22 14:58:48 UTC","131"
"2025/04/22 14:58:54 UTC","118"
"2025/04/22 14:59:00 UTC","132"
"2025/04/22 14:59:06 UTC","154"
"2025/04/22 14:59:12 UTC","466"
"2025/04/22 14:59:18 UTC","447"
"2025/04/22 14:59:24 UTC","192"
"2025/04/22 14:59:30 UTC","261"
"2025/04/22 14:59:36 UTC","472"
"2025/04/22 14:59:42 UTC","507"
"2025/04/22 14:59:48 UTC","737"
"2025/04/22 14:59:54 UTC","114"
"2025/04/22 15:00:00 UTC","164"
"2025/04/22 15:00:06 UTC","1072"
"2025/04/22 15:00:12 UTC","1471"
"2025/04/22 15:00:18 UTC","1382"
"2025/04/22 15:00:24 UTC","820"
"2025/04/22 15:00:30 UTC","444"
"2025/04/22 15:00:36 UTC","1634"
"2025/04/22 15:00:42 UTC","645"
"2025/04/22 15:00:48 UTC","183"
"2025/04/22 15:00:54 UTC","163"
"2025/04/22 15:01:00 UTC","153"
"2025/04/22 15:01:06 UTC","442"
"2025/04/22 15:01:12 UTC","146"
"2025/04/22 15:01:18 UTC","140"
"2025/04/22 15:01:24 UTC","127"
"2025/04/22 15:01:30 UTC","380"
"2025/04/22 15:01:36 UTC","189"
"2025/04/22 15:01:42 UTC","125"
"2025/04/22 15:01:48 UTC","192"
"2025/04/22 15:01:54 UTC","136"
"2025/04/22 15:02:00 UTC","138"
"2025/04/22 15:02:06 UTC","590"
"2025/04/22 15:02:12 UTC","333"
"2025/04/22 15:02:18 UTC","541"
"2025/04/22 15:02:24 UTC","112"
"2025/04/22 15:02:30 UTC","116"
"2025/04/22 15:02:36 UTC","111"
"2025/04/22 15:02:42 UTC","124"
"2025/04/22 15:02:48 UTC","245"
"2025/04/22 15:02:54 UTC","2099"
"2025/04/22 15:03:00 UTC","811"
"2025/04/22 15:03:06 UTC","228"
"2025/04/22 15:03:12 UTC","221"
"2025/04/22 15:03:18 UTC","854"
"2025/04/22 15:03:24 UTC","243"
"2025/04/22 15:03:30 UTC","1295"
"2025/04/22 15:03:36 UTC","1554"
"2025/04/22 15:03:42 UTC","155"
"2025/04/22 15:03:48 UTC","124"
"2025/04/22 15:03:54 UTC","148"
"2025/04/22 15:04:00 UTC","131"
"2025/04/22 15:04:06 UTC","164"
"2025/04/22 15:04:12 UTC","244"
"2025/04/22 15:04:18 UTC","185"
"2025/04/22 15:04:24 UTC","109"
"2025/04/22 15:04:30 UTC","111"
"2025/04/22 15:04:36 UTC","105"
"2025/04/22 15:04:42 UTC","517"
"2025/04/22 15:04:48 UTC","411"
"2025/04/22 15:04:54 UTC","310"
"2025/04/22 15:05:00 UTC","185"
"2025/04/22 15:05:06 UTC","328"
"2025/04/22 15:05:12 UTC","211"
"2025/04/22 15:05:18 UTC","285"
"2025/04/22 15:05:24 UTC","110"
"2025/04/22 15:05:30 UTC","95"
"2025/04/22 15:05:36 UTC","127"
"2025/04/22 15:05:42 UTC","183"
"2025/04/22 15:05:48 UTC","868"
"2025/04/22 15:05:54 UTC","1309"
"2025/04/22 15:06:00 UTC","238"
"2025/04/22 15:06:06 UTC","278"
